Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
HICHAM,NFCDCH-02-JT3VP0DXJDVW8ACFNU3NG54VXYU2W2,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-22593-0AA5459B002FBB9C2892266AF1F5B7A92D58B725C05DD3113D52F1D9CE554A2C9,Android DefaultWidevineL3Phone Android Phone,2022-09-26T22:35:18.137,2022-10-22T22:31:41.412,2022-09-26T22:35:18.137,2022-10-22T22:31:41.412,2022-09-26T22:35:18.137,2022-10-22T22:31:41.412,2022-09-26T22:35:18.137,2022-10-22T22:31:41.412,1970-01-01T00:00:00.000
HICHAM,NFCDCH-02-JJU0W4XJ9Y9CTG07MWM3T5QECW6NK3,Chrome PC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-22593-08BE424EB872883B801ED79964EE93E1C587C9FA3CEA18BC23A605E0E838EB625,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-L3-SAMSUSM-A515F-16994-0AA5459B002FBB9C2892266AF1F5B7A92D58B725C05DD3113D52F1D9CE554A2C9,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFANDROID1-PRV-P-SAMSUSM-A526B-19970-0F6D08A763F1283ECA7E0A18B9EE8AB5C65415EF5D49CD4A3A2E94725B3A47706,DefaultWidevineAndroidPhone,2022-03-27T11:58:27.600,2022-03-27T12:33:46.960,2022-03-27T11:58:27.600,2022-03-27T12:33:46.960,2022-03-27T11:58:27.600,2022-03-27T12:33:46.960,2022-03-27T11:58:27.600,2022-03-27T12:33:46.960,1970-01-01T00:00:00.000
HICHAM,NFCDOT-AP-HX8QTVQXRM398XXA1CJHVJPEQCM4H7,Netflix Android Phone Other HTML 5,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-AP-J92VTXMAC27FTC4QAD04LQ7PW4Y646,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-AP-J40PJ6L11GU0E21HD304N28J2P57HM,Netflix Android Phone-Chrome Android Phone,,,,,,,,,1970-01-01T00:00:00.000
HICHAM,NFCDCH-MC-J8AL6T16CRNHXVD5CJDTH2DY1CUJGF,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000
